DATE|S&P500D|TBILL|GM|GE|rm -rf|ge - rf
ene-64|0,0276249800|0,0029144914|0,0174880000|0,0086080000|0,0247104886|0,0056935086
feb-64|0,0168511700|0,0029967762|0,0081250000|-0,0256050000|0,0138543938|-0,0286017762
mar-64|0,0167440500|0,0029435416|0,0015630000|0,0254010000|0,0138005084|0,0224574584
abr-64|0,0068092750|0,0028733211|0,0546020000|-0,0558740000|0,0039359539|-0,0587473211
may-64|0,0168157500|0,0028894685|0,0387570000|-0,0166920000|0,0139262815|-0,0195814685
jun-64|0,0179847600|0,0028652463|0,0129870000|-0,0086420000|0,0151195137|-0,0115072463
jul-64|0,0192236500|0,0028773582|0,0769230000|0,0454550000|0,0163462918|0,0425776418
ago-64|-0,0118066800|0,0028692838|0,0214290000|0,0074960000|-0,0146759638|0,0046267162
sep-64|0,0302184200|0,0029556431|0,0352020000|0,0705360000|0,0272627769|0,0675803569
oct-64|0,0091606950|0,0029556431|0,0050380000|-0,0209790000|0,0062050519|-0,0239346431
nov-64|0,0008828007|0,0031579039|-0,0288220000|0,0585710000|-0,0022751032|0,0554130961
dic-64|0,0053829040|0,0031248959|0,0316210000|0,0126860000|0,0022580081|0,0095611041
ene-65|0,0350540900|0,0031949230|0,0357600000|0,0656840000|0,0318591670|0,0624890770
feb-65|0,0034388420|0,0033026758|-0,0160300000|0,0050310000|0,0001361662|0,0017283242
mar-65|-0,0129836100|0,0032689162|0,0176770000|0,0017520000|-0,0162525262|-0,0015169162
abr-65|0,0354179600|0,0032528359|0,0818860000|0,0477390000|0,0321651241|0,0444861641
may-65|-0,0030594090|0,0032198622|-0,0447250000|-0,0083930000|-0,0062792712|-0,0116128622
jun-65|-0,0470587600|0,0031659528|-0,0682090000|-0,0672310000|-0,0502247128|-0,0703969528
jul-65|0,0143491000|0,0031699770|0,0196080000|0,0469360000|0,0111791230|0,0437660230
ago-65|0,0275146700|0,0031788296|0,0243590000|0,0423410000|0,0243358404|0,0391621704
sep-65|0,0336711400|0,0033428494|0,0592690000|0,1244920000|0,0303282906|0,1211491506
oct-65|0,0291158000|0,0033717635|0,0702380000|0,0106840000|0,0257440365|0,0073122365
nov-65|-0,0039671640|0,0033717635|-0,0634040000|-0,0380550000|-0,0073389275|-0,0414267635
dic-65|0,0102450200|0,0037252193|0,0048540000|0,0430770000|0,0065198007|0,0393517807
ene-66|0,0058004720|0,0038243576|-0,0072460000|-0,0275420000|0,0019761144|-0,0313663576
feb-66|-0,0127797600|0,0038155674|-0,0233580000|-0,0501090000|-0,0165953274|-0,0539245674
mar-66|-0,0233928700|0,0037500140|-0,0565330000|0,0105500000|-0,0271428840|0,0067999860
abr-66|0,0220785700|0,0038563147|-0,0386150000|0,0490870000|0,0182222553|0,0452306853
may-66|-0,0490075000|0,0038155674|-0,0709140000|-0,0935800000|-0,0528230674|-0,0973955674
jun-66|-0,0141075100|0,0037947873|-0,0242420000|0,0254500000|-0,0179022973|0,0216552127
jul-66|-0,0124035700|0,0039505231|0,0031060000|-0,1001180000|-0,0163540931|-0,1040685231
ago-66|-0,0720517600|0,0041020105|-0,0869970000|-0,1099480000|-0,0761537705|-0,1140500105
sep-66|-0,0057242900|0,0044089971|0,0274440000|0,0076470000|-0,0101332871|0,0032380029
oct-66|0,0489807400|0,0043192348|-0,0200330000|0,1220590000|0,0446615052|0,1177397652
nov-66|0,0104619700|0,0042739229|-0,0732540000|0,0275230000|0,0061880471|0,0232490771
dic-66|0,0000407673|0,0039912102|-0,0093980000|-0,0903060000|-0,0039504429|-0,0942972102
ene-67|0,0793239100|0,0037420164|0,1404180000|-0,0070620000|0,0755818936|-0,0108040164
feb-67|0,0072274150|0,0037620090|-0,0252910000|-0,0184920000|0,0034654060|-0,0222540090
mar-67|0,0411270400|0,0033267821|0,0535410000|-0,0084060000|0,0378002579|-0,0117327821
abr-67|0,0432439400|0,0030999307|0,1344260000|0,1178200000|0,0401440093|0,1147200693
may-67|-0,0465361800|0,0028773582|-0,0797690000|-0,0935440000|-0,0494135382|-0,0964213582
jun-67|0,0192289000|0,0032737398|-0,0238100000|0,0177330000|0,0159551602|0,0144592602
jul-67|0,0462345300|0,0034335768|0,1024390000|0,2431650000|0,0428009532|0,2397314232
ago-67|-0,0063670970|0,0036347817|-0,0047200000|0,0115740000|-0,0100018787|0,0079392183
sep-67|0,0342285100|0,0036387853|0,0508980000|0,0322650000|0,0305897247|0,0286262147
oct-67|-0,0272726200|0,0037380174|-0,0598290000|-0,0546270000|-0,0310106374|-0,0583650174
nov-67|0,0067996060|0,0041020105|-0,0151520000|-0,0176890000|0,0026975955|-0,0217910105
dic-67|0,0272297800|0,0041712919|0,0250000000|-0,0717890000|0,0230584881|-0,0759602919
ene-68|-0,0422572700|0,0040446343|-0,0457320000|-0,0846350000|-0,0463019043|-0,0886796343
feb-68|-0,0265631800|0,0041593506|-0,0242810000|-0,0039830000|-0,0307225306|-0,0081423506
mar-68|0,0103444300|0,0042214284|-0,0099340000|-0,0057550000|0,0061230016|-0,0099764284
abr-68|0,0837219500|0,0045145336|0,0869570000|0,1099860000|0,0792074164|0,1054714664
may-68|0,0164879700|0,0046571711|-0,0049230000|-0,0740550000|0,0118307989|-0,0787121711
jun-68|0,0101301100|0,0043875575|0,0062700000|-0,0212770000|0,0057425525|-0,0256645575
jul-68|-0,0172802700|0,0042818740|-0,0202490000|-0,0217390000|-0,0215621440|-0,0260208740
ago-68|0,0165429000|0,0042898244|0,0076310000|-0,0029630000|0,0122530756|-0,0072528244
sep-68|0,0397153500|0,0042007405|0,0590110000|0,0211000000|0,0355146095|0,0168992595
oct-68|0,0092886060|0,0045066028|0,0572290000|0,1143690000|0,0047820032|0,1098623972
